"participantid","ppt_included","block","trialnumber_withinblock","shape","location_deviant","deviant_type","orientation","validtrial","sumvalidtrials_overall","proponscreen_shapes_on_1","proponscreen_shapes_on_2","shape_w_duck_car","gaze_topright_2","gaze_bottomleft_3","gaze_bottomright_4","gaze_centre","gaze_onscreen_elsewhere","gaze_nogaze","gaze_topleft_1","gaze_offscreen","total_dwell_shapes","total_dwell_deviant","prop_look_dev"
123,1,3,2,"rhombus",4,2,25,1,10,1,0.916666666666667,"rhombus",39,22,0,45,56,0,67,10,128,0,0
123,1,3,3,"square",3,2,5,0,10,0.330434782608696,0.235772357723577,"square",0,30,0,33,4,112,0,59,30,30,1
123,1,3,4,"isosceles_triangle",1,2,25,0,10,0,0.456896551724138,"isosceles_triangle",0,40,0,0,13,104,0,79,40,0,0
123,1,3,5,"object",2,2,5,0,10,0.364406779661017,0.40495867768595,"car",0,19,0,0,3,147,70,0,89,0,0
123,1,3,6,"pentagon",4,2,25,0,10,0.571428571428571,0.388429752066116,"pentagon",0,33,47,33,2,102,0,23,80,47,0.5875
123,1,4,1,"equilateral_triangle",3,1,25,0,10,0.101694915254237,0.214876033057851,"equilateral_triangle",0,0,25,12,1,106,0,95,25,0,0
123,1,4,2,"rhombus",1,1,5,0,10,0.420168067226891,0.85,"rhombus",0,28,26,27,45,2,26,85,80,26,0.325
123,1,4,3,"square",2,1,25,0,10,0.61864406779661,0.00826446280991736,"square",33,0,1,38,2,140,0,25,34,33,0.970588235294118
123,1,4,4,"isosceles_triangle",4,1,5,1,10,0.53781512605042,0.705882352941177,"isosceles_triangle",0,0,0,57,9,87,82,3,82,0,0
123,1,4,5,"object",3,1,25,1,10,0.73109243697479,1,"duck",24,13,87,0,12,32,71,0,195,13,0.0666666666666667
123,1,4,6,"pentagon",1,1,5,0,10,0.203389830508475,0,"pentagon",24,0,0,0,0,215,0,0,24,0,0
124,1,1,1,"rhombus",1,2,325,0,9,1,0.336134453781513,"rhombus",38,93,0,8,21,78,0,1,131,0,0
124,1,1,2,"object",4,2,355,1,9,1,1,"car",19,33,146,8,2,0,31,0,229,146,0.637554585152838
124,1,1,3,"pentagon",3,2,325,1,9,1,0.925,"pentagon",167,0,38,7,18,9,0,0,205,0,0
124,1,1,4,"square",2,2,355,0,9,0.92436974789916,0.216666666666667,"square",34,23,2,26,28,0,23,103,82,34,0.414634146341463
124,1,1,5,"isosceles_triangle",1,2,325,1,9,0.991596638655462,1,"isosceles_triangle",185,0,1,7,14,1,31,0,217,31,0.142857142857143
124,1,1,6,"equilateral_triangle",4,2,355,1,9,0.974789915966387,0.55,"equilateral_triangle",0,78,0,37,4,35,63,22,141,0,0
124,1,2,1,"rhombus",2,1,5,1,9,1,1,"rhombus",0,0,48,29,74,0,90,0,138,0,0
124,1,2,2,"object",3,1,25,1,9,1,1,"duck",85,37,89,6,4,0,18,0,229,37,0.161572052401747
124,1,2,3,"pentagon",4,1,5,0,9,0.873949579831933,0.285714285714286,"pentagon",38,1,33,9,41,97,16,3,88,33,0.375
124,1,2,4,"square",1,1,25,1,9,0.949579831932773,1,"square",42,40,0,62,4,6,85,0,167,85,0.508982035928144
124,1,2,5,"isosceles_triangle",2,1,5,1,9,1,0.680672268907563,"isosceles_triangle",12,98,0,24,36,38,30,0,140,12,0.0857142857142857
124,1,2,6,"equilateral_triangle",3,1,25,0,9,1,0,"equilateral_triangle",20,73,0,6,19,121,1,0,94,73,0.776595744680851
124,1,3,1,"rhombus",3,2,25,0,9,0.449152542372881,0,"rhombus",0,0,0,14,2,184,37,1,37,0,0
124,1,3,2,"object",2,2,5,1,9,1,1,"car",100,37,28,6,22,0,46,0,211,100,0.4739336492891
124,1,3,3,"pentagon",1,2,25,0,9,0,0,"pentagon",0,0,0,0,0,239,0,0,0,0,NA
124,1,3,4,"square",4,2,5,0,9,0,0,"square",0,0,0,0,0,239,0,0,0,0,NA
124,1,3,5,"isosceles_triangle",3,2,25,0,9,0,0,"isosceles_triangle",0,0,0,0,0,240,0,0,0,0,NA
124,1,3,6,"equilateral_triangle",2,2,5,0,9,0,0.336065573770492,"equilateral_triangle",0,0,0,0,1,200,40,0,40,0,0
125,1,1,1,"rhombus",1,2,325,1,9,1,0.6,"rhombus",49,66,0,54,22,0,0,48,115,0,0
125,1,1,2,"object",4,2,355,1,9,1,1,"car",98,0,118,7,16,0,0,0,216,118,0.546296296296296
125,1,1,3,"pentagon",3,2,325,1,9,0.899159663865546,1,"pentagon",87,36,88,12,4,0,0,12,211,36,0.170616113744076
125,1,1,4,"square",2,2,355,1,9,0.865546218487395,0.525,"square",48,72,17,10,19,0,0,73,137,48,0.35036496350365
125,1,1,5,"isosceles_triangle",1,2,325,1,9,1,0.512605042016807,"isosceles_triangle",66,15,69,5,24,17,1,41,151,1,0.00662251655629139
125,1,1,6,"equilateral_triangle",4,2,355,0,9,0.722689075630252,0.05,"equilateral_triangle",23,33,6,27,3,72,0,75,62,6,0.0967741935483871
125,1,2,1,"rhombus",2,1,5,0,9,0.979865771812081,1,"rhombus",107,58,47,15,39,0,0,3,212,107,0.504716981132076
125,1,2,2,"object",3,1,25,1,9,1,1,"duck",102,12,36,13,8,0,68,0,218,12,0.055045871559633
125,1,2,3,"pentagon",4,1,5,0,9,0.791304347826087,0,"pentagon",35,0,0,48,8,141,0,4,35,0,0
125,1,2,4,"square",1,1,25,0,9,1,0.225,"square",115,0,0,3,28,0,0,93,115,0,0
125,1,2,5,"isosceles_triangle",2,1,5,0,9,0.551724137931034,0,"isosceles_triangle",2,20,0,10,32,171,0,1,22,2,0.0909090909090909
125,1,2,6,"equilateral_triangle",3,1,25,0,9,0.815126050420168,0.352941176470588,"equilateral_triangle",76,1,0,0,54,37,8,62,85,1,0.0117647058823529
125,1,3,1,"rhombus",3,2,25,0,9,0.559322033898305,0,"rhombus",0,35,0,8,23,114,0,61,35,35,1
125,1,3,2,"object",2,2,5,1,9,1,1,"car",111,54,40,5,29,0,0,0,205,111,0.541463414634146
125,1,3,3,"pentagon",1,2,25,0,9,1,0,"pentagon",39,28,0,12,40,0,0,120,67,0,0
125,1,3,4,"square",4,2,5,0,9,0.638655462184874,0,"square",0,0,28,48,0,96,0,68,28,28,1
125,1,3,5,"isosceles_triangle",3,2,25,0,9,0.423728813559322,0,"isosceles_triangle",0,0,0,49,1,185,0,0,0,0,NA
125,1,3,6,"equilateral_triangle",2,2,5,1,9,1,1,"equilateral_triangle",102,27,36,26,48,0,0,0,165,102,0.618181818181818
125,1,4,1,"rhombus",4,1,355,0,9,0.857142857142857,0.341666666666667,"rhombus",65,21,0,32,25,76,0,20,86,0,0
125,1,4,2,"object",1,1,325,1,9,1,1,"duck",50,38,52,11,18,0,70,0,210,70,0.333333333333333
125,1,4,3,"pentagon",2,1,355,0,9,0.613445378151261,0.233333333333333,"pentagon",26,2,6,32,34,128,1,10,35,26,0.742857142857143
125,1,4,4,"square",3,1,325,0,9,0.92436974789916,0.140495867768595,"square",42,47,0,33,5,86,0,27,89,47,0.528089887640449
125,1,4,5,"isosceles_triangle",4,1,355,0,9,0.789915966386555,0.34453781512605,"isosceles_triangle",84,1,0,12,38,74,0,29,85,0,0
125,1,4,6,"equilateral_triangle",1,1,325,0,9,0.652542372881356,0,"equilateral_triangle",20,0,21,32,4,158,0,2,41,0,0
